sol_id,roi_pct,riesgo,n_cats,hhi,capital_usd,ganancia_usd,n_skus,categorias,skus_top3,tipo
20,67.83,6.2503,11,0.1164,4952.33,3359.18,15,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ram|ssd|tarjetas_video,"Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 5 7600X, 6 Núcleos, 4.7-5.3Ghz, 32Mb L3, Arquitectura Am5, 105W",normal
21,72.07,4.2462,7,0.196,4985.62,3593.36,14,cpu|discos_ssd|memorias_ram|monitores|motherboard|procesadores|ssd,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon|Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms,normal
22,69.0,5.0015,9,0.1195,4736.93,3268.38,15,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ssd,Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 7 7700X 4 5 a 5 4GHz 32MB L3 8-Core AM5 105W,equilibrado
23,73.2,3.9116,6,0.2453,3957.93,2897.23,11,cpu|discos_ssd|memorias_ram|monitores|procesadores|ssd,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon|Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms,max_roi
24,70.78,5.5271,9,0.1818,4832.87,3420.61,14,computadoras|cpu|discos_ssd|memorias_ram|monitores|motherboard|procesadores|ram|ssd,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 7 7700X 4 5 a 5 4GHz 32MB L3 8-Core AM5 105W,normal
25,68.86,5.5671,10,0.1485,4784.31,3294.41,14,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ram|ssd,"Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 7 7700X 4 5 a 5 4GHz 32MB L3 8-Core AM5 105W|Procesador Ryzen 5 7600X, 6 Núcleos, 4.7-5.3Ghz, 32Mb L3, Arquitectura Am5, 105W",normal
26,69.95,5.2642,9,0.1691,4660.09,3259.54,13,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ssd,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 7 7700X 4 5 a 5 4GHz 32MB L3 8-Core AM5 105W,normal
27,73.19,3.8279,6,0.2358,4335.45,3173.04,12,cpu|discos_ssd|memorias_ram|monitores|procesadores|ssd,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon|Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms,normal
28,66.69,4.4573,10,0.1543,4848.61,3233.62,16,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ram|ssd,Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|DISCO DURO SOLIDO 1TB M.2 2230 NVMe PCIe 4.0 1TB SNV3SM3/1T0|Disco duro N300 NAS 8TB SATA 60Gbs 7200rpm 35,normal
29,69.03,5.9495,10,0.1195,4926.16,3400.75,16,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ram|ssd,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon|Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms,normal
