sku_local,source_local,title_local,model_key_local,price_local,category_local,sku_import,source_import,title_import,model_key_import,price_import,category_import,match_score,price_ratio,gap_usd,gap_pct,category
154877789,falabella_pe,"MacBook Air 13, M5 w 10C CPU, 8C GPU, 16GB, 512GB SSD Sky Blue",512GB SSD,1913.17,laptops,v1|157374439877|0,ebay_usa,"HP OmniBook 5 Laptop 16-inch, 512GB SSD, Intel Ultra Core7, 5 .2GHz, 16GB RAM",512GB SSD,900.0,unknown,100.0,2.1257444444444444,1013.1700000000001,112.57444444444444,laptops
154900651,falabella_pe,Memoria RAM Vengeance RGB 16GB DDR5 6000MHz Black,16GB DDR5 6000MHZ,578.27,memorias_ram,v1|157879252427|0,ebay_usa,RAM DDR5 16GB DDR5 6000Mhz CL48 Adata XPG  Lancer Blade RGB  AX5U6000C4816GBLABR,16GB DDR5 6000MHZ,175.0,unknown,100.0,3.3044,403.27,230.43999999999997,memorias_ram
142850791,falabella_pe,"Monitor gaming 27GS65F UltraGear™ FHD 180Hz de 27 pulgadas - 1ms (GtG), HDR10, FreeSync™",180HZ,396.83,monitores,v1|206261773051|0,ebay_usa,ASUS ROG Strix XG27ACS 27in LCD Gaming Monitor 2560x1440 180Hz 1ms HDMI DP,180HZ,175.0,unknown,100.0,2.2676,221.82999999999998,126.75999999999999,monitores
142850791,falabella_pe,"Monitor gaming 27GS65F UltraGear™ FHD 180Hz de 27 pulgadas - 1ms (GtG), HDR10, FreeSync™",180HZ,396.83,monitores,v1|176454841516|0,ebay_usa,"Z-EDGE UG27 1080P FHD 180Hz 1ms Curved Gaming Monitor, FreeSync, HDMI 2.0, DP1.4",180HZ,139.99,unknown,100.0,2.834702478748482,256.84,183.47024787484818,monitores
142850791,falabella_pe,"Monitor gaming 27GS65F UltraGear™ FHD 180Hz de 27 pulgadas - 1ms (GtG), HDR10, FreeSync™",180HZ,396.83,monitores,v1|117317476039|0,ebay_usa,ASUS ROG Strix XG27ACS 27in LCD Gaming Monitor 2560x1440 180Hz 1ms HDMI DP,180HZ,175.0,unknown,100.0,2.2676,221.82999999999998,126.75999999999999,monitores
154900989,falabella_pe,"Monitor 24U411A-B 23.8"" IPS FHD 120Hz",120HZ,149.85,monitores,v1|267688232658|567492687923,ebay_usa,"32 Inch 2K Monitor 120Hz, 1440P IPS Computer Monitor, Frameless QHD PC Monitor f",120HZ,222.63,unknown,100.0,0.6730898800700714,-72.78,-32.691011992992856,monitores
142824142,falabella_pe,ThinkSystem 750W 230V 115V Platinum Hot-Swap Gen2 v2 4P57A75972,750W,194.59,PSU,B0C6T6XB36,amazon_usa,"GAMEMAX 750W Fully Modular ARGB Power Supply, ATX3.0 & PCIE 5.0, 80 Plus Gold Certified, 105°C Japanese Caps, ATX Gaming Power Supply",750W,69.99,PSU,100.0,2.780254322046007,124.60000000000001,178.02543220460066,PSU
142814479,falabella_pe,MONITOR PLANO LS27DG612SLXPE ODYSSEY OLED G6 27 QHD 240HZ,240HZ,853.12,monitores,v1|168372338896|0,ebay_usa,Acer Predator 27 inch UHD 4K 240Hz AMD FreeSync Premium Pro & G-Sync Compatible,240HZ,1018.22,unknown,100.0,0.8378542947496611,-165.10000000000002,-16.214570525033885,monitores
142814479,falabella_pe,MONITOR PLANO LS27DG612SLXPE ODYSSEY OLED G6 27 QHD 240HZ,240HZ,853.12,monitores,v1|167622137426|0,ebay_usa,"GIGABYTE 27 inch UHD 4K 240Hz with AMD FreeSync Premium Pro &, G-SYNC Compatible",240HZ,1099.18,unknown,100.0,0.776142215105806,-246.06000000000006,-22.38577848941939,monitores
142814479,falabella_pe,MONITOR PLANO LS27DG612SLXPE ODYSSEY OLED G6 27 QHD 240HZ,240HZ,853.12,monitores,v1|158103581409|0,ebay_usa,"🔥NEW🔥 SAMSUNG 27-Inch Odyssey QD-OLED G8 (G81SF), 4K, 240Hz, Gaming Monitor",240HZ,900.0,unknown,100.0,0.9479111111111111,-46.879999999999995,-5.208888888888889,monitores
142814479,falabella_pe,MONITOR PLANO LS27DG612SLXPE ODYSSEY OLED G6 27 QHD 240HZ,240HZ,853.12,monitores,v1|127976408943|0,ebay_usa,ASUS ProArt 27 inch UHD 4K 240Hz OLED Professional Computer Monitor PA27UCDMR,240HZ,1299.99,unknown,100.0,0.6562512019323226,-446.87,-34.374879806767744,monitores
142804931,falabella_pe,Monitor 27 FHD IPS 100Hz 1ms FreeSync HDMIVGA VESA,100HZ,176.0,monitores,v1|127956430385|0,ebay_usa,Samsung S27D368GAN 27IN S36SD 16:9 CURVED TAA 100HZ 1920X1080 HAS HDMI/DP 1YR,100HZ,270.38,unknown,100.0,0.6509357200976403,-94.38,-34.90642799023596,monitores
144276023,falabella_pe,Laptop IdeaPad Slim 3 Gen 8 AMD Ryzen 5 16GB RAM 512GB SSD 15'',512GB SSD,1148.49,procesadores,B0H2MJZ47V,amazon_usa,"Gaming PC Desktop Computer, Core i7 Up to 4.2GHz, Radeon RX 580 8GB,16GB RAM,512GB SSD,WiFi 6,7 RGB Fans,for Office, Home, Business Prebuilt Computers Tower-White",512GB SSD,2100.22,CASE,100.0,0.5468427117159156,-951.7299999999998,-45.315728828408446,procesadores
